APISDREN BHUTAN-AKSUMITE - 500 Common Word Translations
Fantasy Language based on ApisdrenBhutan-Askumite name patterns
Linguistic roots: Dzongkha/Tibetan (Bhutanese) + Ge'ez/Aksumite (ancient Ethiopian)
Stylization: Fantasy-leaning, consistent feel prioritized over direct translation.
Phonetic bridges: Both languages share short open syllables, velar/uvular stops
(k, q, kh), nasal clusters (-ng, -nd, -mb), and vowel-final words.

KEY SOURCE WORDS:
  Dzongkha/Tibetan: kho (he), mo (she), nga (I/me), khyed (you), kho-tsho (they),
  yod (there is/have), ma (not), la (honorific/yes), gi (of/possessive),
  yul (country/place), chu (water), me (fire), sa (earth/ground), nam (sky),
  nyi-ma (sun), da-wa (moon), kar-ma (star/action), nyin (day), tsa (root/hot),
  chenpo (great), yagpo (good), den (truth/real), mi (person), dung (longing)
  Ge'ez/Aksumite: ʾegziʾ (lord), hagär (country), mai (water), ʾəsät (fire),
  mədr (earth), samay (sky), ʾIyäsus (name root), birhan (light), lelit (night),
  tsom (fast/river), ʾabiy (great), tsäda (white), qal (word/voice), nägär (thing/matter),
  ḥaylu (power/force), zämän (time/era), ʾənda (like/as), tsəge (flower)

PHONETIC BRIDGE STRATEGY:
  Shared: k/q stops, open a/i/u vowels, nasal endings (-ng, -m, -n)
  Tibetan short syllables (chu, me, sa, nam) blend with Ge'ez CVC roots (qal, mai, mədr)
  Bridge suffix system: -ang (Tibetan nasal) + Ge'ez vowel-final = -anga, -enga
  Vocalic harmony: a and ä merge to a; ə rendered as e; retroflex lost, simplified
  Fantasy stylization: consonant clusters softened, tonal marks dropped,
  consistent suffixes applied: -en (noun), -ang (adjective), -eïr (verb), -om (place/abstract)

===================================================================================
RANK | ENGLISH       | APISDREN                | ROOT / NOTES
404  | sky           | namkhaeng               | Tib. nam-kha (sky) + -eng
405  | board         | shogpang                | Tib. shog (board/paper) + -ang
406  | joy           | desang                  | Ge'ez des (joy) + -ang
407  | winter        | guneng                  | Tib. gun (winter) + -eng
408  | sat           | degseïr                 | same as sit
409  | written       | yigpang                 | Tib. yig (written/letter) + -ang
410  | wild          | rangpang                | Tib. rang (wild/self) + -ang
411  | instrument    | cheleng                 | Ge'ez chel (instrument/tool) + -eng
412  | kept          | dzinpang                | Tib. dzin (kept/held) + -ang
413  | glass         | sheleng                 | Tib. shel (glass/crystal) + -eng
414  | grass         | tsaeng                  | Tib. tsa (grass/root) + -eng
415  | cow           | bageng                  | Ge'ez bag (cow/cattle) + -eng
416  | job           | leomeng                 | Ge'ez le (job/work) + -omeng
417  | edge          | thaben                  | Tib. tha (edge/end) + -en
418  | sign          | tagpang                 | Tib. tag (sign/always) + -ang
419  | visit         | dorseïr                 | Ge'ez dor (to visit/journey) + -seïr
420  | past          | ngonang                 | Tib. ngon (past/before) + -ang
421  | soft          | jampang                 | Tib. jam (soft/gentle) + -ang
422  | fun           | desong                  | Ge'ez des (fun/joy) + -ong
423  | bright        | salang                  | Ge'ez sal (bright/radiant) + -ang
424  | gas           | lungeng                 | Tib. lung (gas/wind) + -eng
425  | weather       | namshi                  | Tib. nam-shi (weather/sky-condition)
426  | month         | dawaeng                 | Tib. da-wa (month/moon) + -eng
427  | million       | gyatong                 | Tib. gya-tong (million/sky-empty) + -ng
428  | bear          | domeng                  | Tib. dom (bear) + -eng
429  | finish        | tsarseïr                | Tib. tsar (to finish/complete) + -seïr
430  | happy         | kyidang                 | Tib. kyid (happy) + -ang
431  | hope          | rebaeng                 | Tib. re-ba (hope) + -eng
432  | flower        | tsigeng                 | Ge'ez tsig (flower) + -eng
433  | clothe        | gonseïr                 | Tib. gon (to clothe/wear) + -seïr
434  | strange       | ngomtsepang             | Tib. ngom-tse (strange/proud) + -ang
435  | gone          | droseïr                 | Tib. dro (gone/going) + -seïr
436  | jump          | longseïr                | Tib. long (to jump/arise) + -seïr
437  | baby          | phrogeng                | Tib. phro (baby/emanate) + -geng
438  | eight         | gyeeng                  | Tib. gye (eight) + -eng
439  | village       | driomeng                | Tib. drio (village) + -meng
440  | meet          | thugseïr                | Tib. thug (to meet/reach) + -seïr
441  | root          | tsaom                   | Tib. tsa (root) + -om
442  | buy           | nyomseïr                | Tib. nyom (to buy/even) + -seïr
443  | raise         | langseïr                | Tib. lang (to raise/rise) + -seïr
444  | solve         | drolseïr                | Tib. drol (to solve/free) + -seïr
445  | metal         | lcagsom                 | Tib. lcags (iron/metal) + -om
447  | push          | bseïr                   | Tib. b (to push/press) stylized
448  | seven         | duneng                  | Tib. dun (seven) + -eng
449  | paragraph     | yigcheng                | Tib. yig-che (paragraph/big-text) + -ng
450  | third         | sumpaeng                | Tib. sum-pa (third) + -eng
452  | held          | dzinseïr                | Tib. dzin (held) + -seïr
453  | hair          | traleng                 | Tib. tral (hair) + -eng
454  | describe      | jodseïr                 | Tib. jod (to describe/say) + -seïr
455  | cook          | tobseïr                 | Ge'ez tob (to cook) + -seïr
456  | floor         | sabaeng                 | Tib. sa-ba (floor/ground-level) + -eng
458  | result        | drebueng                | Tib. dre-bu (result/fruit) + -eng
459  | burn          | tseseïr                 | Tib. tse (to burn/life) + -seïr
460  | hill          | rigeng                  | Tib. ri (mountain/hill) + -eng
461  | safe          | sangpang                | Tib. sang (safe/pure) + -ang
462  | cat           | shimeng                 | Ge'ez shim (cat) + -eng
463  | century       | dondongom               | Tib. don-dong (century/meaning-circle) + -om
464  | consider      | semeïr                  | Ge'ez sem (to consider/hear) + -eïr
465  | type          | rigdeng                 | Tib. rig (type/knowledge) + -deng
466  | law           | katibang                | Ge'ez katib (law/written) + -ang
467  | bit           | chungeng                | Tib. chung (bit/small) + -eng
468  | coast         | gyatshoang              | Tib. gyatsho (coast/ocean-edge) + -ang
469  | copy          | parpang                 | Tib. par (copy/print) + -ang
470  | phrase        | tsigeng                 | Tib. tsig (phrase/word) + -eng
471  | silent        | linpang                 | Tib. lin (silent/still) + -ang
472  | tall          | ringpang                | Tib. ring (tall/long) + -ang
473  | sand          | beyang                  | Tib. be (sand/flat) + -yang
474  | soil          | saeng                   | Tib. sa (soil/earth) + -eng
475  | roll          | khorseïr                | Tib. khor (to roll/wheel) + -seïr
476  | temperature   | dronseng                | Tib. dron (temperature/warm) + -seng
477  | finger        | zemeng                  | Ge'ez zem (finger/digit) + -eng
478  | industry      | letsomeng               | Tib. le-tsom (industry/work-effort) + -eng
479  | value         | rinseng                 | Tib. rin (value/price) + -seng
480  | fight         | tsangseïr               | Tib. tsang (to fight/pure) + -seïr
481  | lie           | nyaleïr                 | same as lay
482  | beat          | rdungseïr               | Tib. rdung (to beat/strike) + -seïr
483  | excite        | gyeseïr                 | Tib. gye (to excite/eight) + -seïr
484  | natural       | rangzhinpang            | Tib. rang-zhin (natural/self-nature) + -ang
485  | view          | thongpang               | Tib. thong (view/see) + -ang
486  | sense         | tsorseng                | Tib. tsor (sense/feel) + -seng
487  | ear           | namnyen                 | Tib. nam-nyen (ear/sky-listen) + -en
491  | case          | doneng                  | Tib. don (case/meaning) + -eng
492  | middle        | barseng                 | Tib. bar (middle/between) + -seng
493  | kill          | sodseïr                 | Ge'ez sod (to kill) + -seïr
494  | son           | puen                    | Tib. pu (son) + -en
495  | lake          | tshoeng                 | Tib. tsho (lake) + -eng
496  | moment        | kemom                   | Ge'ez kem (moment — same as minute)
497  | scale         | tsalseng                | Ge'ez tsal (scale/measure) + -seng
498  | loud          | shuang                  | Ge'ez shu (loud/voice) + -ang
499  | spring        | chikhaeng               | Tib. chi-kha (spring/outer-mouth) + -eng
500  | observe       | thongseïr               | Tib. thong (to observe/see) + -seïr

69   | other         | zhanen                  | Tib. zhan (other) + -en
83   | two           | nyiseng                 | Tib. nyis (two) + -eng
120  | got           | thobpang                | Tib. thob (got/obtained) + -ang

===================================================================================
PHONETIC GUIDE FOR APISDREN
===================================================================================

Tibetan/Dzongkha sounds used in Apisdren:
  ng  = velar nasal (as in "sing") — very common word-initially and finally
  kh  = aspirated k (as in "khaki")
  zh  = voiced fricative (as in "measure")
  ts  = affricate (as in "cats")
  dz  = voiced affricate (as in "adze")
  ny  = palatal nasal (as in "canyon")
  dr  = retroflex cluster (Tibetan characteristic)
  Tonal distinctions dropped for fantasy usability

Ge'ez/Aksumite sounds used in Apisdren:
  q   = uvular stop (deeper than k)
  ts  = affricate (shared with Tibetan — a key bridge point)
  Triconsonantal roots simplified to CV/CVC for blending
  Gutturals (ḥ, ʾ) softened to h/voiced stops

Bridge construction rules:
  Both use: k, m, n, ng, ts, open a/e/i vowels
  Tibetan short syllables (me, sa, lu, gar) + Ge'ez -eng/-ang/-om suffixes
  Ge'ez CVC roots (qal, lab, kem) + Tibetan -pang/-ang/-seïr endings
  The overlap creates Apisdren's signature rhythm: short-stem + soft-suffix

Apisdren suffix system:
  -eng  = primary noun suffix
  -ang  = adjective/quality suffix
  -om   = place/abstract noun
  -seïr = verb (action)
  -eïr  = verb (state/being)
  -pang = intensified adjective
  -sang = past/completed form
  -dong = power/force augment

===================================================================================
END OF FILE — ApisdrenBhutanAksumite_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
