SOLARIRUM FRENCH - 500 Common Word Translations (REVISED)
Fantasy Language based on SolarirumFrench name patterns
Linguistic roots: Old French / Langue d'oïl (11th–13th century)
Words are evolved and stylized from Old French — not modern French directly.

KEY SOURCE WORDS (Old French):
  le/la/les (the), un/une (a), estre (to be), avoir (to have), faire (to do/make),
  dire (to say), veoir (to see), aler (to go), venir (to come), savoir (to know),
  vouloir (to want), donner (to give), tenir (to hold), sentir (to feel),
  homme (man), femme (woman), enfant (child), roi (king), peuple (people),
  terre (earth), feu (fire), eau (water), ciel (sky), nuit (night), jour (day),
  grant (great), bel (beautiful), bon (good), vrai (true), fort (strong)

NOTE: Old French phonology differs significantly from modern French:
  - Final consonants were pronounced
  - Many words ended in -er, -ier, -oir, -el, -al, -ain
  - Diphthongs were common: -ieu, -eau, -ai, -oi, -ui
  - Words like "estre" (être), "veoir" (voir), "savoir" retain archaic -re/-oir endings

===================================================================================
RANK | ENGLISH       | SOLARIRUM FRENCH        | OLD FRENCH ROOT / NOTES
396   | prove          | prouvelveth              |
397   | lone           | seulveth                 |
398   | leg            | jambevel                 |
404   | sky            | cielvelvorn              |
406   | joy            | joievelvorn              |
410   | wild           | sauvelvain               |
411   | instrument     | instrumvel               |
420   | past           | passevel                 |
421   | soft           | doucevel                 |
434   | strange        | estrangevel              |
440   | meet           | renconveil               |
444   | solve          | reselvain                |
446   | whether        | sivelvorn                |
447   | push           | pouvelvorn               |
448   | seven          | setvel                   |
458   | result         | resulvelvain             |
459   | burn           | brulveil                 |
465   | type           | typevel                  |
468   | coast          | cotevel                  |
471   | silent         | silenvelvain             |
472   | tall           | grandvelvorn             |
477   | finger         | doigvelvain              |
478   | industry       | indusvelvorn             |
483   | excite         | excitelvorn              |
484   | natural        | natvelvorn               |
485   | view           | vuevelvorn               |
486   | sense          | senvelvain               |
489   | quite          | asseziel                 |
491   | case           | casvelvain               |
498   | loud           | hautvelvorn              |
499   | spring         | prinvelvain              |

END OF FILE — SolarirumFrench_500words_REVISED.txt
Generated for Durgeth fantasy world language system
===================================================================================
