VEILDRIFT SLAVIC-CELTIC - 500 Common Word Translations
Fantasy Language based on VeildriftSlavic-Celtic name patterns
Linguistic roots: South Slavic primary (Serbian/Bulgarian/Macedonian)
with broad Celtic blend (Old Irish primary, Breton/Welsh/Scottish Gaelic secondary)
Stylization: Fantasy-leaning, consistent feel prioritized.
Note: Distinct from Nordal which uses OCS/Polish — Veildrift uses South Slavic.

KEY SOURCE WORDS (Serbian/Bulgarian):
  Serbian: ja (I), ti (you), on/ona (he/she), mi (we), oni (they),
  i (and), ali (but), ne (not), na (on/at), od (from/of), za (for),
  sa (with), u (in/into), ili (or), ako (if), jer (because),
  biti (be), imati (have), raditi (do/work), reći (say), videti (see),
  ići (go), doći (come), znati (know), dati (give), uzeti (take),
  čovek (man/person), žena (woman), dete (child), kralj (king),
  zemlja (earth), vatra (fire), voda (water), nebo (sky), dan (day),
  mesec (moon), zvezda (star), dobar (good), veliki (great/big), istina (truth)
  Bulgarian: аз/az (I), ти/ti (you), той/toy (he), тя/tya (she),
  и/i (and), но/no (but), не/ne (not), на/na (on/at), от/ot (from),
  за/za (for), с/s (with), в/v (in), или/ili (or), ако/ako (if),

KEY SOURCE WORDS (Celtic blend):
  Old Irish: mé (I), tú (you), é (he), sí (she), muid (we),
  agus (and), ach (but), ní (not), ar (on), ó (from/since), do (to/for),
  le (with), nó (or), má (if), mar (as/like), is (be/am),
  duine (person), bean (woman), mac (son), rí (king), tír (land),
  tine (fire), uisce (water), spéir (sky), lá (day), gealach (moon),
  réalt (star), maith (good), mór (great/big), fíor (true),
  Breton: ur/un (a), ha (and), met (but), ne...ket (not), war (on),
  diouz (from), evit (for), gant (with), pe (or), ma (if),
  Scottish Gaelic: mi (I), thu (you), e (he), i (she), sinn (we),
  agus (and), ach (but), chan eil (not), air (on), bho (from),
  Welsh: dyn (man), tan (fire), dŵr (water), awyr (sky), dydd (day)

PHONETIC BRIDGE STRATEGY:
  South Slavic: hard consonants (č/š/ž), palatals, -ić/-ić diminutives,
  vowel-rich, -nje/-nje abstract nouns, verb aspect pairs
  Celtic: lenition (bh/mh/gh), broad/slender consonant distinction,
  -ach/-ech suffixes, compound words, mutation system
  Bridge: Both share: r liquids, n/m nasals, v/w sounds, open a/e/i vowels
  South Slavic -je/-nje meets Celtic -e/-che endings naturally
  Fantasy suffix system: -vrath (noun, fr. Serbian vrata=gate + Celtic -rath=fort),
  -dru (verb, fr. Breton -dru + Serbian -dru intensive), -slav (quality/glory,
  fr. Serbian slava=glory), -mhar (adj, fr. Irish -mhar = having quality of),
  -zelj (desire/spirit, fr. Serbian želja=wish + Celtic spirit roots),
  -nocht (dark/revealed, fr. Irish nocht=bare/revealed + Slavic noc=night)

===================================================================================
RANK | ENGLISH       | VEILDRIFT               | ROOT / NOTES
369  | sudden        | iznenadan nocht         | Serb. iznenadan (sudden) + -nocht
370  | count         | broja tizdru            | Serb. brojati (count) + -zdru
371  | square        | kvadratvrath            | Serb. kvadrat (square) + -vrath
372  | reason        | razlogzelj              | Serb. razlog (reason) + -zelj
373  | length        | dužinanocht             | Serb. dužina (length) + -nocht
374  | represent     | predstavljazdru         | Serb. predstavljati (represent) + -zdru
375  | art           | umetnostnocht           | Serb. umetnost (art) + -nocht
376  | subject       | temavrath               | Serb. tema (subject/theme) + -vrath
377  | region        | regionvrath             | Serb. region + -vrath
378  | energy        | energijazelj            | Serb. energija (energy) + -zelj
379  | hunt          | loviti dru              | Serb. loviti (hunt) + -dru
380  | probable      | verovatnomhar           | Serb. verovatno (probable) + -mhar
381  | bed           | krevetnocht             | Serb. krevet (bed) + -nocht
382  | brother       | bratslav                | Serb. brat (brother) + -slav
383  | egg           | jajevrath               | Serb. jaje (egg) + -vrath
384  | ride          | jahatizdru              | Serb. jahati (to ride) + -zdru
385  | cell          | ćelijazelj              | Serb. ćelija (cell) + -zelj
386  | believe       | verovatizdru            | Serb. verovati (believe) + -zdru
387  | fraction      | razlomak zelj           | Serb. razlomak (fraction) + -zelj
388  | forest        | šuma zelj               | Serb. šuma (forest) + -zelj
389  | sit           | seditizdru              | Serb. sedeti (to sit) + -zdru
390  | race          | trkavrath               | Serb. trka (race) + -vrath
391  | window        | prozornocht             | Serb. prozor (window) + -nocht
392  | store         | prodavnicanocht         | Serb. prodavnica (store) + -nocht
393  | summer        | letoslav                | Serb. leto (summer) + -slav
394  | train         | vozvrath                | Serb. voz (train) + -vrath
395  | sleep         | spavatizdru             | Serb. spavati (to sleep) + -zdru
396  | prove         | dokazatizdru            | Serb. dokazati (prove) + -zdru
397  | lone          | samotanslav             | Serb. samotan (lone) + -slav
398  | leg           | nogavrath               | Serb. noga (leg) + -vrath
399  | exercise      | vežbazelj               | Serb. vežba (exercise) + -zelj
400  | wall          | zidvrath                | Serb. zid (wall) + -vrath
401  | catch         | uhvatitizdru            | Serb. uhvatiti (catch) + -zdru
402  | mount         | penjatizdru             | Serb. penjati (to mount) + -zdru
403  | wish          | željazelj               | Serb. želja (wish) + -zelj
404  | sky           | nebonocht               | Serb. nebo (sky) + -nocht
405  | board         | daskazdru               | Serb. daska (board) + -zdru
406  | joy           | radostnocht             | Serb. radost (joy) + -nocht
407  | winter        | zimavrath               | Serb. zima (winter) + -vrath
408  | sat           | sedaovrath              | Serb. sedao (sat) + -vrath
409  | written       | napisanmhar             | Serb. napisan (written) + -mhar
410  | wild          | divljinacht             | Serb. divlji (wild) + -nacht
411  | instrument    | instrumentnocht         | Serb. instrument + -nocht
412  | kept          | čuvaovrath              | Serb. čuvao (kept) + -vrath
413  | glass         | staklovrath             | Serb. staklo (glass) + -vrath
414  | grass         | travandru               | Serb. trava (grass) + -ndru
415  | cow           | kravandru               | Serb. krava (cow) + -ndru
416  | job           | posaozdru               | Serb. posao (job) + -zdru
417  | edge          | ivicazelj               | Serb. ivica (edge) + -zelj
418  | sign          | znakzelj                | Serb. znak (sign) + -zelj
419  | visit         | poseta zdru             | Serb. poseta (visit) + -zdru
420  | past          | prošlostslav            | Serb. prošlost (past) + -slav
421  | soft          | mekannocht              | Serb. mekan (soft) + -nocht
422  | fun           | zabavanocht             | Serb. zabava (fun) + -nocht
423  | bright        | svetaomhar              | Serb. svetao (bright) + -mhar
424  | gas           | gasvrath                | Serb. gas + -vrath
425  | weather       | vremevrath              | same as time (weather/time share vreme)
426  | month         | mesecvrath              | Serb. mesec (month) + -vrath
427  | million       | milionvrath             | Serb. milion + -vrath
428  | bear          | medvedzelj              | Serb. medved (bear) + -zelj
429  | finish        | završitizdru            | Serb. završiti (finish) + -zdru
430  | happy         | srećannocht             | Serb. srećan (happy) + -nocht
431  | hope          | nadazelj                | Serb. nada (hope) + -zelj
432  | flower        | cvetslav                | Serb. cvet (flower) + -slav
433  | clothe        | oblačitizdru            | Serb. oblačiti (clothe) + -zdru
434  | strange       | čudannocht              | Serb. čudan (strange) + -nocht
435  | gone          | otišaovrath             | Serb. otišao (gone) + -vrath
436  | jump          | skakatizdru             | Serb. skakati (jump) + -zdru
437  | baby          | bebavrath               | Serb. beba (baby) + -vrath
438  | eight         | osamnocht               | Serb. osam (eight) + -nocht
439  | village       | selozelj                | Serb. selo (village) + -zelj
440  | meet          | sresti zdru             | Serb. sresti (meet) + -zdru
441  | root          | korenzelj               | Serb. koren (root) + -zelj
442  | buy           | kupitizdru              | Serb. kupiti (buy) + -zdru
443  | raise         | podićizdru              | Serb. podići (raise) + -zdru
444  | solve         | rešitizdru              | Serb. rešiti (solve) + -zdru
445  | metal         | metalvrath              | Serb. metal + -vrath
447  | push          | gurati dru              | Serb. gurati (push) + -dru
448  | seven         | sedam nocht             | Serb. sedam (seven) + -nocht
449  | paragraph     | paragrafvrath           | Serb. paragraf + -vrath
450  | third         | trećimhar               | Serb. treći (third) + -mhar
452  | held          | držaovrath              | Serb. držao (held) + -vrath
453  | hair          | kosamhar                | Serb. kosa (hair) + -mhar
454  | describe      | opisatizdru             | Serb. opisati (describe) + -zdru
455  | cook          | kuvatizdru              | Serb. kuvati (cook) + -zdru
456  | floor         | podvrath                | Serb. pod (floor) + -vrath
458  | result        | rezultatvrath           | Serb. rezultat + -vrath
459  | burn          | goreti dru              | Serb. goreti (burn) + -dru
460  | hill          | bregnocht               | Serb. breg (hill) + -nocht
461  | safe          | bezbedannocht           | Serb. bezbedan (safe) + -nocht
462  | cat           | mačkazelj               | Serb. mačka (cat) + -zelj
463  | century       | veknocht                | Serb. vek (century) + -nocht
464  | consider      | razmatratizdru          | Serb. razmatrati (consider) + -zdru
465  | type          | tipvrath                | Serb. tip (type) + -vrath
466  | law           | zakonslav               | Serb. zakon (law) + -slav
467  | bit           | bitslav                 | OIr. bit (bit/small) + -slav
468  | coast         | obalazelj               | Serb. obala (coast) + -zelj
469  | copy          | kopijandru              | Serb. kopija (copy) + -ndru
470  | phrase        | frazazdru               | Serb. fraza (phrase) + -zdru
471  | silent        | tihonocht               | Serb. tiho (silent/quiet) + -nocht
472  | tall          | visokslav               | same as high
473  | sand          | pesakvrath              | Serb. pesak (sand) + -vrath
474  | soil          | zemljandru              | Serb. zemlja (soil) + -ndru
475  | roll          | kotrljatizdru           | Serb. kotrljati (roll) + -zdru
476  | temperature   | temperatura zelj        | Serb. temperatura + -zelj
477  | finger        | prstvrath               | Serb. prst (finger) + -vrath
478  | industry      | industrijandru          | Serb. industrija + -ndru
479  | value         | vrednostnocht           | Serb. vrednost (value) + -nocht
480  | fight         | boriti dru              | Serb. boriti (fight) + -dru
481  | lie           | legatidru               | same as lay
482  | beat          | tućizdru                | Serb. tuci (beat) + -zdru
483  | excite        | uzbuditi dru            | Serb. uzbuditi (excite) + -dru
484  | natural       | prirodanmhar            | Serb. prirodan (natural) + -mhar
485  | view          | pogled zelj             | Serb. pogled (view) + -zelj
486  | sense         | osećajzelj              | Serb. osećaj (sense) + -zelj
487  | ear           | uvovrath                | Serb. uvo (ear) + -vrath
491  | case          | slučajvrath             | Serb. slučaj (case) + -vrath
492  | middle        | srednanocht             | Serb. sredan (middle) + -nocht
493  | kill          | ubiti zdru              | Serb. ubiti (kill) + -zdru
494  | son           | sinslav                 | Serb. sin (son) + -slav
495  | lake          | jezerozelj              | Serb. jezero (lake) + -zelj
496  | moment        | trenutakvrath           | Serb. trenutak (moment) + -vrath
497  | scale         | skalaslaav              | Serb. skala (scale) + -slav
498  | loud          | glasanslav              | Serb. glasan (loud) + -slav
499  | spring        | prolećeslav             | Serb. proleće (spring) + -slav
500  | observe       | posmatratizdru          | Serb. posmatrati (observe) + -zdru

===================================================================================
PHONETIC GUIDE FOR VEILDRIFT
===================================================================================

South Slavic (Serbian/Bulgarian) sounds:
  č   = voiceless palatal affricate (as in "church")
  š   = voiceless palatal fricative (as in "shoe")
  ž   = voiced palatal fricative (as in "measure")
  ć   = lighter palatal affricate (between ch and ty)
  đ   = voiced palatal affricate (between dj and dy)
  lj  = palatal lateral (as in "million")
  nj  = palatal nasal (as in "canyon")
  Aspect pairs: imperfective/perfective verb distinction
  Case endings: -a/-e/-i/-u for different grammatical roles

Celtic sounds adding texture:
  OIr. lenition: bh/mh = /v/, gh = /γ/, ch = /x/, fh = silent
  -acht/-echt = abstract noun suffix (very characteristic of Old Irish)
  -mhar = adjective suffix (Old Irish -mar = having quality of)
  Breton -ndr- clusters bridge with Slavic -ndru
  Welsh initial mutations echo Slavic consonant alternation

Key attested Serbian words used:
  kralj (king), zvezda (star), nebo (sky), vatra (fire), voda (water),
  zemlja (earth), mesec (moon), brat (brother), srce (heart),
  ljubav (love), nada (hope), radost (joy), slobodan (free),
  zlato (gold), sneg (snow), kiša (rain), šuma (forest), medved (bear)

Veildrift suffix system:
  -vrath  = primary noun ending (fr. Serb. vrata=gate/portal + Celtic -rath=fort)
  -zdru   = verb ending (active/transitive, fr. Serb. -zdrav=healthy + Celtic -dru)
  -dru    = verb ending (stative/intransitive, lighter form)
  -slav   = quality/glory ending (fr. Serb. slava=glory — all elevated qualities)
  -mhar   = adjective ending (fr. OIr. -mhar = having quality of)
  -nocht  = dark/mysterious noun (fr. OIr. nocht=bare + Serb. noć=night)
  -zelj   = desire/living noun (fr. Serb. želja=wish + Celtic life-roots)
  -acht   = abstract quality (fr. OIr. -acht suffix — attested extensively)
  -ndru   = material/earthy noun (Breton -ndr + Serb. -ndru blend)

===================================================================================
END OF FILE — VeildriftSlavicCeltic_500words.txt
Generated for Durgeth fantasy world language system
===================================================================================
